gen,best_FO,avg_FO
1,11898,-1.38142e+08
2,11898,-1.92279e+08
3,11898,-1.94654e+08
4,11898,-1.74673e+08
5,11898,-1.55706e+08
6,11898,-1.20033e+08
7,11898,-1.14031e+08
8,11898,-9.90638e+07
9,11898,-1.04012e+08
10,11898,-1.08274e+08
11,11898,-9.78381e+07
12,11898,-1.01359e+08
13,11898,-1.03707e+08
14,11898,-8.7329e+07
15,11898,-7.9886e+07
16,11898,-7.63927e+07
17,11898,-5.51275e+07
18,11898,-8.53204e+07
19,11898,-8.21614e+07
20,11898,-6.47213e+07
21,11898,-6.24571e+07
22,11898,-7.37523e+07
23,11898,-6.12416e+07
24,11898,-6.4343e+07
25,11898,-8.4199e+07
26,11898,-9.19067e+07
27,11898,-8.6183e+07
28,11898,-8.11788e+07
29,11898,-7.55082e+07
30,11898,-6.65215e+07
31,11898,-4.93827e+07
32,11898,-8.04773e+07
33,11898,-8.74581e+07
34,11898,-9.43729e+07
35,11898,-8.55026e+07
36,11898,-8.8682e+07
37,11898,-9.4265e+07
38,11898,-9.34902e+07
39,11898,-7.99194e+07
40,11898,-7.80427e+07
41,11898,-9.27359e+07
42,11898,-9.60581e+07
43,11898,-8.94783e+07
44,11898,-7.48065e+07
45,11898,-7.3129e+07
46,11898,-6.09967e+07
47,11898,-7.15917e+07
48,11898,-5.32402e+07
49,11898,-4.71362e+07
50,11898,-4.25057e+07
51,11898,-5.21064e+07
52,11898,-7.10835e+07
53,11898,-6.37968e+07
54,11898,-6.8587e+07
55,11898,-6.29293e+07
56,11898,-6.40439e+07
57,11898,-4.32738e+07
58,11898,-5.47457e+07
59,11898,-6.64339e+07
60,11898,-9.17022e+07
61,11898,-7.92924e+07
62,11898,-8.29599e+07
63,11898,-7.63847e+07
64,11898,-7.37724e+07
65,11898,-8.08869e+07
66,11898,-8.06319e+07
67,11898,-1.00606e+08
68,11898,-1.17617e+08
69,11898,-1.21698e+08
70,11898,-1.18313e+08
71,11898,-1.19653e+08
72,11898,-9.7835e+07
73,11898,-9.17186e+07
74,11898,-8.33492e+07
75,11898,-1.04209e+08
76,11898,-1.1138e+08
77,11898,-1.04074e+08
78,11898,-1.08158e+08
79,11898,-1.01648e+08
80,11898,-9.18593e+07
81,11898,-8.35383e+07
82,11898,-8.08414e+07
83,11898,-7.89067e+07
84,11898,-8.38486e+07
85,11898,-7.80297e+07
86,11898,-8.61998e+07
87,11898,-7.25258e+07
88,11898,-6.84707e+07
89,11898,-7.08301e+07
90,11898,-5.62965e+07
91,11898,-7.58728e+07
92,11898,-8.2252e+07
93,11898,-8.24333e+07
94,11898,-7.87262e+07
95,11898,-7.33675e+07
96,11898,-6.55632e+07
97,11898,-7.23152e+07
98,11898,-8.5912e+07
99,11898,-8.30055e+07
100,11898,-1.03408e+08
101,11898,-1.09705e+08
102,11898,-1.04189e+08
103,11898,-1.04758e+08
104,11898,-1.01342e+08
105,11898,-9.60689e+07
106,11898,-1.05231e+08
107,11898,-1.08092e+08
108,11898,-1.01175e+08
109,11898,-9.5003e+07
110,11898,-1.04889e+08
111,11898,-9.87773e+07
112,11898,-1.06637e+08
113,11898,-9.00395e+07
114,11898,-8.44928e+07
115,11898,-7.72085e+07
116,11898,-7.39099e+07
117,11898,-7.14803e+07
118,11898,-8.40792e+07
119,11898,-8.80514e+07
120,11898,-8.97008e+07
121,11898,-9.81837e+07
122,11898,-1.05915e+08
123,11898,-9.58032e+07
124,11898,-1.17879e+08
125,11898,-1.18566e+08
126,11898,-1.12081e+08
127,11898,-9.75848e+07
128,11898,-8.99173e+07
129,11898,-9.02072e+07
130,11898,-7.66102e+07
131,11898,-5.92688e+07
132,11898,-5.38474e+07
133,11898,-7.09273e+07
134,11898,-9.57592e+07
135,11898,-1.09083e+08
136,11898,-1.1372e+08
137,11898,-1.08999e+08
138,11898,-1.03957e+08
139,11898,-9.14314e+07
140,11898,-9.63711e+07
141,11898,-1.01117e+08
142,11898,-9.30274e+07
143,11898,-1.0213e+08
144,11898,-1.01572e+08
145,11898,-9.09302e+07
146,11898,-1.11006e+08
147,11898,-1.03417e+08
148,11898,-9.28273e+07
149,11898,-9.0938e+07
150,11898,-9.72574e+07
151,11898,-8.67528e+07
152,11898,-9.5734e+07
153,11898,-8.08266e+07
154,11898,-8.28608e+07
155,11898,-9.6804e+07
156,11898,-8.38393e+07
157,11898,-7.23303e+07
158,11898,-7.01769e+07
159,11898,-8.35792e+07
160,11898,-8.9589e+07
161,11898,-1.06523e+08
162,11898,-9.83333e+07
163,11898,-8.7815e+07
164,11898,-9.15675e+07
165,11898,-7.76138e+07
166,11898,-8.622e+07
167,11898,-9.75265e+07
168,11898,-9.57675e+07
169,11898,-8.19475e+07
170,11898,-7.50825e+07
171,11898,-8.46367e+07
172,11898,-8.58961e+07
173,11898,-7.65096e+07
174,11898,-7.72424e+07
175,11898,-7.88181e+07
176,11898,-8.32529e+07
177,11898,-7.1516e+07
178,11898,-8.22326e+07
179,11898,-7.68069e+07
180,11898,-7.77287e+07
181,11898,-7.10706e+07
182,11898,-7.14331e+07
183,11898,-7.07229e+07
184,11898,-6.92402e+07
185,11898,-6.0437e+07
186,11898,-8.27327e+07
187,11898,-7.7331e+07
188,11898,-7.56104e+07
189,11898,-6.80744e+07
190,11898,-6.53526e+07
191,11898,-7.9663e+07
192,11898,-6.87055e+07
193,11898,-8.41793e+07
194,11898,-9.06117e+07
195,11898,-9.285e+07
196,11898,-6.86895e+07
197,11898,-7.54097e+07
198,11898,-7.74621e+07
199,11898,-8.95921e+07
200,11898,-8.59742e+07
201,11898,-6.88016e+07
202,11898,-6.20529e+07
203,11898,-8.3257e+07
204,11898,-8.32922e+07
205,11898,-8.71423e+07
206,11898,-1.02014e+08
207,11898,-1.00303e+08
208,11898,-9.83075e+07
209,11898,-8.05254e+07
210,11898,-9.43557e+07
211,11898,-8.27185e+07
212,11898,-7.18844e+07
213,11898,-6.10547e+07
214,11898,-5.14416e+07
215,11898,-5.08355e+07
216,11898,-5.87088e+07
217,11898,-5.62907e+07
218,11898,-7.54447e+07
219,11898,-6.9208e+07
220,11898,-6.88193e+07
221,11898,-6.38399e+07
222,11898,-6.52783e+07
223,11898,-5.54159e+07
224,11898,-5.05362e+07
225,11898,-5.05793e+07
226,11898,-6.56533e+07
227,11898,-7.33406e+07
228,11898,-8.33118e+07
229,11898,-6.45001e+07
230,11898,-5.81583e+07
231,11898,-7.03958e+07
232,11898,-7.55337e+07
233,11898,-6.76252e+07
234,11898,-7.42368e+07
235,11898,-7.69552e+07
236,11898,-9.68941e+07
237,11898,-9.60513e+07
238,11898,-8.88313e+07
239,11898,-9.67364e+07
240,11898,-9.94435e+07
241,11898,-8.92989e+07
242,11898,-9.02708e+07
243,11898,-8.08389e+07
244,11898,-5.93935e+07
245,11898,-5.13502e+07
246,11898,-6.28641e+07
247,11898,-6.17948e+07
248,11898,-7.21566e+07
249,11898,-8.25603e+07
250,11898,-6.91776e+07
