instance,algorithm,start,run,seed,FO,feasible,time_ms,iters,best_iter
medium2,greedy_det,-,1,0,11397,1,0.5352,0,0
medium2,greedy_stoch,-,1,1,10613,1,0.5242,0,0
medium2,greedy_stoch,-,2,2,10911,1,0.4406,0,0
medium2,greedy_stoch,-,3,3,11398,1,0.4304,0,0
medium2,greedy_stoch,-,4,4,11191,1,0.4205,0,0
medium2,greedy_stoch,-,5,5,10614,1,0.4045,0,0
medium2,greedy_stoch,-,6,6,10561,1,0.4253,0,0
medium2,greedy_stoch,-,7,7,10679,1,0.4232,0,0
medium2,greedy_stoch,-,8,8,9845,1,0.3999,0,0
medium2,greedy_stoch,-,9,9,10587,1,0.4697,0,0
medium2,greedy_stoch,-,10,10,10947,1,0.4343,0,0
medium2,sa,det,1,1,12194,1,442.094,40000,8194
medium2,sa,det,2,2,12149,1,533.517,40000,6558
medium2,sa,det,3,3,11397,1,468.194,40000,0
medium2,sa,det,4,4,11945,1,420.602,40000,9640
medium2,sa,det,5,5,11750,1,476.639,40000,28138
medium2,sa,det,6,6,12136,1,428.642,40000,10783
medium2,sa,det,7,7,11528,1,440.703,40000,7253
medium2,sa,det,8,8,12216,1,467.035,40000,28959
medium2,sa,det,9,9,11988,1,459.174,40000,33468
medium2,sa,det,10,10,11948,1,474.143,40000,24072
medium2,sa,stoch,1,1,12312,1,445.623,40000,26880
medium2,sa,stoch,2,2,11398,1,458.224,40000,0
medium2,sa,stoch,3,3,11398,1,460.003,40000,0
medium2,sa,stoch,4,4,11999,1,446.773,40000,31066
medium2,sa,stoch,5,5,11570,1,450.691,40000,8328
medium2,sa,stoch,6,6,11894,1,448.156,40000,8241
medium2,sa,stoch,7,7,12319,1,482.747,40000,30480
medium2,sa,stoch,8,8,12216,1,478.912,40000,8934
medium2,sa,stoch,9,9,11398,1,516.145,40000,0
medium2,sa,stoch,10,10,11591,1,433.609,40000,7829
medium2,ga,greedy_stoch,1,1,11898,1,55.8302,250,0
medium2,ga,greedy_stoch,2,2,11450,1,58.1864,250,0
medium2,ga,greedy_stoch,3,3,11827,1,56.0661,250,0
medium2,ga,greedy_stoch,4,4,11400,1,51.8516,250,0
medium2,ga,greedy_stoch,5,5,11838,1,57.101,250,0
medium2,ga,greedy_stoch,6,6,11472,1,57.0941,250,0
medium2,ga,greedy_stoch,7,7,11461,1,51.6223,250,0
medium2,ga,greedy_stoch,8,8,11973,1,52.3737,250,0
medium2,ga,greedy_stoch,9,9,11813,1,64.3652,250,0
medium2,ga,greedy_stoch,10,10,11766,1,52.0527,250,0
