gen,best_FO,avg_FO
228,11391,-7.7588e+06
229,11391,-7.49284e+06
230,11391,-6.68189e+06
231,11391,-9.54735e+06
232,11391,-9.78146e+06
233,11391,-1.0819e+07
234,11391,-1.14353e+07
235,11391,-1.30681e+07
236,11391,-1.07889e+07
237,11391,-1.02294e+07
238,11391,-9.9757e+06
239,11391,-1.12282e+07
240,11391,-1.30061e+07
241,11391,-1.42833e+07
242,11391,-1.04965e+07
243,11391,-7.29967e+06
244,11391,-9.60723e+06
245,11391,-1.1001e+07
246,11391,-9.93582e+06
247,11391,-1.07439e+07
248,11391,-1.16816e+07
249,11391,-1.15195e+07
250,11391,-1.21398e+07
